,mae_score,rmse_score
elasticnet_model_001_001_test,50401.71191708802,69271.34641221935
elasticnet_model_001_002_test,50406.400065339716,69281.26290566278
elasticnet_model_001_003_test,50405.22753828446,69278.70496647713
knn_model_001_002_test,41298.26645461218,62416.05638842711
tree_model_001_001_test,41769.16026425251,65426.145943919975
tree_model_001_002_test,42937.42965500367,67295.40197685553
tree_model_001_003_test,42937.42965500367,67295.40197685553
forest_model_001_001_test,31470.616575727916,48305.161781250514
forest_model_001_002_test,31471.117585375232,48254.100600149286
adaboost_model_001_002_test,68342.02418895702,82549.88694930526
gradboost_model_001_001_test,32578.069381437926,48626.31186737522
gradboost_model_001_002_test,32322.575580763805,48405.81716589304
xgboost_XGBRegressor_model_001_001_test,39154.85127098881,57983.65404835611
xgboost_XGBRFRegressor_model_001_001_test,45644.854651562884,64875.73089869942
