,mae,rmse
linreg_model_001_001,49564.9322,67706.0319
poly_reg_valid_error_deg1,49564.9322,67706.0319
grid_elasticnet_model_001_001,49551.935,67672.2605
grid_elasticnet_model_001_002,49557.1333,67685.1233
grid_elasticnet_model_001_003,49555.8331,67681.827
score_logreg_model_001_001_valid,153733.42,198670.2587
knn_model_001_002,41275.4747,61374.9004
grid_svm_model_001_001,84320.5295,113044.2543
grid_tree_model_001_001,41109.138,64120.245
grid_tree_model_001_002,41109.138,64120.245
grid_tree_model_001_003,43144.5291,66740.0776
grid_forest_model_001_001,31867.0469,48100.5936
grid_forest_model_001_002,31878.6493,48090.5366
grid_adaboost_model_001_001,61086.5882,76693.2086
grid_adaboost_model_001_002,67291.5035,81686.0112
grid_adaboost_model_001_003,57364.9577,74216.2698
grid_gradboost_model_001_001,33055.9893,48681.0699
grid_gradboost_model_001_002,32810.954,48457.5316
grid_XGBRegressor_model_001_001,39170.2816,57131.6023
grid_XGBRFRegressor_model_001_001,45182.2503,63844.1696
